Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Fri May 28 11:22:12 2021 ; 1 ; -44.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:13 2021 ; 2 ; -44.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:13 2021 ; 3 ; -45.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:14 2021 ; 4 ; -44.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:15 2021 ; 5 ; -44.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:15 2021 ; 6 ; -43.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:16 2021 ; 7 ; -44.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:16 2021 ; 8 ; -49.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:17 2021 ; 9 ; -46.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:17 2021 ; 10 ; -45.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:18 2021 ; 11 ; -51.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:18 2021 ; 12 ; -53.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:19 2021 ; 13 ; -50.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:19 2021 ; 14 ; -52.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:20 2021 ; 15 ; -47.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:20 2021 ; 16 ; -45.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:21 2021 ; 17 ; -45.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:21 2021 ; 18 ; -46.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:22 2021 ; 19 ; -45.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:22 2021 ; 20 ; -45.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:23 2021 ; 21 ; -46.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:23 2021 ; 22 ; -45.0 ; 100.0 ; 0 ; 0
Fri May 28 11:22:24 2021 ; 23 ; -46.0 ; 100.0 ; 0 ; 0
